Effective date ,S&P GSCI Agriculture TR,S&P GSCI Agriculture ER,S&P GSCI Agriculture,,,,,,
11/30/2009,613.75,59.67,351.94,,,,,,
12/1/2009,611.21,59.43,350.48,,,,,,
12/2/2009,605.53,58.87,347.22,,,,,,
12/3/2009,604.72,58.8,346.76,,,,,,
12/4/2009,592.46,57.6,339.73,,,,,,
12/7/2009,590.12,57.38,338.47,,,,,,
12/8/2009,585.51,56.93,335.92,,,,,,
12/9/2009,581.74,56.56,333.86,,,,,,
12/10/2009,589.95,57.36,338.67,,,,,,
12/11/2009,598.32,58.17,343.56,,,,,,
12/14/2009,610.63,59.37,350.62,,,,,,
12/15/2009,605.78,58.9,347.84,,,,,,
12/16/2009,614.18,59.71,352.66,,,,,,
12/17/2009,601.66,58.5,345.47,,,,,,
12/18/2009,602.02,58.53,345.68,,,,,,
12/21/2009,595.95,57.94,342.2,,,,,,
12/22/2009,597.97,58.14,343.35,,,,,,
12/23/2009,602.86,58.61,346.16,,,,,,
12/24/2009,604.65,58.79,347.19,,,,,,
12/28/2009,619.21,60.2,355.55,,,,,,
12/29/2009,614.93,59.79,353.09,,,,,,
12/30/2009,615.77,59.87,353.57,,,,,,
12/31/2009,615.52,59.84,353.43,,,,,,
1/4/2010,626.86,60.94,359.93,,,,,,
1/5/2010,624.28,60.69,358.45,,,,,,
1/6/2010,632.95,61.54,363.42,,,,,,
1/7/2010,623.41,60.61,357.95,,,,,,
1/8/2010,626.42,60.9,359.67,,,,,,
1/11/2010,623.99,60.66,358.26,,,,,,
1/12/2010,601.48,58.48,345.28,,,,,,
1/13/2010,604.4,58.76,347.01,,,,,,
1/14/2010,598.12,58.15,343.41,,,,,,
1/15/2010,586.94,57.06,336.99,,,,,,
1/19/2010,588.53,57.22,337.9,,,,,,
1/20/2010,585.5,56.92,336.16,,,,,,
1/21/2010,588.99,57.26,338.17,,,,,,
1/22/2010,583.46,56.72,334.99,,,,,,
1/25/2010,586.97,57.06,337,,,,,,
1/26/2010,581.87,56.57,334.08,,,,,,
1/27/2010,569.77,55.39,327.13,,,,,,
1/28/2010,574.83,55.88,330.04,,,,,,
1/29/2010,570.98,55.51,327.82,,,,,,
2/1/2010,568.44,55.26,326.37,,,,,,
2/2/2010,577.27,56.12,331.43,,,,,,
2/3/2010,562.58,54.69,323,,,,,,
2/4/2010,560.16,54.46,321.61,,,,,,
2/5/2010,549.31,53.4,316.21,,,,,,
2/8/2010,559.66,54.41,322.99,,,,,,
2/9/2010,562.94,54.73,325.59,,,,,,
2/10/2010,568.75,55.29,329.81,,,,,,
2/11/2010,573.45,55.75,333.39,,,,,,
2/12/2010,569.28,55.34,330.96,,,,,,
2/16/2010,581.69,56.55,338.17,,,,,,
2/17/2010,569.19,55.33,330.9,,,,,,
2/18/2010,567.79,55.2,330.09,,,,,,
2/19/2010,571.2,55.53,332.07,,,,,,
2/22/2010,570.82,55.49,331.84,,,,,,
2/23/2010,563.32,54.76,327.48,,,,,,
2/24/2010,571.44,55.55,332.2,,,,,,
2/25/2010,563.71,54.8,327.71,,,,,,
2/26/2010,571.74,55.58,332.38,,,,,,
3/1/2010,559.92,54.43,325.5,,,,,,
3/2/2010,560.55,54.49,325.87,,,,,,
3/3/2010,563.57,54.78,327.62,,,,,,
3/4/2010,553.76,53.83,321.92,,,,,,
3/5/2010,551.67,53.63,320.7,,,,,,
3/8/2010,549.5,53.42,319.44,,,,,,
3/9/2010,539.57,52.45,313.66,,,,,,
3/10/2010,534.56,51.96,310.75,,,,,,
3/11/2010,528.66,51.39,307.32,,,,,,
3/12/2010,532.48,51.76,309.54,,,,,,
3/15/2010,529.23,51.44,307.64,,,,,,
3/16/2010,530.01,51.52,308.1,,,,,,
3/17/2010,536.8,52.18,312.04,,,,,,
3/18/2010,539.64,52.45,313.69,,,,,,
3/19/2010,535.23,52.03,311.13,,,,,,
3/22/2010,532.36,51.75,309.46,,,,,,
3/23/2010,522.04,50.74,303.45,,,,,,
3/24/2010,525.32,51.06,305.36,,,,,,
3/25/2010,514.57,50.02,299.11,,,,,,
3/26/2010,514.84,50.04,299.27,,,,,,
3/29/2010,520.03,50.55,302.28,,,,,,
3/30/2010,523.23,50.86,304.14,,,,,,
3/31/2010,505.26,49.11,293.69,,,,,,
4/1/2010,508.03,49.38,295.3,,,,,,
4/5/2010,507.16,49.29,294.79,,,,,,
4/6/2010,508.58,49.43,295.62,,,,,,
4/7/2010,515.82,50.13,299.82,,,,,,
4/8/2010,507.54,49.33,296.34,,,,,,
4/9/2010,507.57,49.33,297.71,,,,,,
4/12/2010,510.59,49.63,300.75,,,,,,
4/13/2010,517.37,50.28,305.97,,,,,,
4/14/2010,520.56,50.59,309.01,,,,,,
4/15/2010,523.44,50.87,310.71,,,,,,
4/16/2010,522.23,50.76,310,,,,,,
4/19/2010,512.8,49.84,304.4,,,,,,
4/20/2010,521.95,50.73,309.82,,,,,,
4/21/2010,525.55,51.08,311.96,,,,,,
4/22/2010,528.11,51.33,313.48,,,,,,
4/23/2010,522.17,50.75,309.95,,,,,,
4/26/2010,517.31,50.28,307.06,,,,,,
4/27/2010,511.58,49.72,303.66,,,,,,
4/28/2010,512.71,49.83,304.33,,,,,,
4/29/2010,517.73,50.32,307.31,,,,,,
4/30/2010,522.41,50.77,310.09,,,,,,
5/3/2010,518.98,50.44,308.05,,,,,,
5/4/2010,517.02,50.25,306.88,,,,,,
5/5/2010,518.06,50.35,307.5,,,,,,
5/6/2010,508.76,49.44,301.97,,,,,,
5/7/2010,510.28,49.59,302.88,,,,,,
5/10/2010,507.51,49.32,301.23,,,,,,
5/11/2010,508.72,49.44,301.94,,,,,,
5/12/2010,511.95,49.75,303.86,,,,,,
5/13/2010,506.65,49.24,300.71,,,,,,
5/14/2010,496.86,48.28,294.9,,,,,,
5/17/2010,491.6,47.77,291.78,,,,,,
5/18/2010,497.35,48.33,295.19,,,,,,
5/19/2010,498.35,48.43,295.78,,,,,,
5/20/2010,499.36,48.53,296.38,,,,,,
5/21/2010,505.86,49.16,300.23,,,,,,
5/24/2010,502.91,48.87,298.48,,,,,,
5/25/2010,498.07,48.4,295.61,,,,,,
5/26/2010,502.15,48.8,298.03,,,,,,
5/27/2010,503.97,48.97,299.11,,,,,,
5/28/2010,490.98,47.71,291.39,,,,,,
6/1/2010,487.85,47.41,289.53,,,,,,
6/2/2010,481.56,46.79,285.8,,,,,,
6/3/2010,483.91,47.02,287.19,,,,,,
6/4/2010,477.64,46.41,283.46,,,,,,
6/7/2010,474.44,46.1,282.18,,,,,,
6/8/2010,477.62,46.41,284.56,,,,,,
6/9/2010,480.42,46.68,286.74,,,,,,
6/10/2010,484.95,47.12,289.53,,,,,,
6/11/2010,493.19,47.92,294.78,,,,,,
6/14/2010,500.46,48.63,299.12,,,,,,
6/15/2010,501.99,48.78,300.04,,,,,,
6/16/2010,506.78,49.24,302.9,,,,,,
6/17/2010,505.41,49.11,302.08,,,,,,
6/18/2010,506.56,49.22,302.77,,,,,,
6/21/2010,507.85,49.35,303.54,,,,,,
6/22/2010,506.07,49.17,302.47,,,,,,
6/23/2010,501.97,48.77,300.02,,,,,,
6/24/2010,504.57,49.03,301.58,,,,,,
6/25/2010,502.15,48.79,300.13,,,,,,
6/28/2010,495.98,48.19,296.44,,,,,,
6/29/2010,485.72,47.19,290.31,,,,,,
6/30/2010,503.55,48.93,300.96,,,,,,
7/1/2010,514.47,49.99,307.49,,,,,,
7/2/2010,515.32,50.07,307.99,,,,,,
7/6/2010,512.35,49.78,306.21,,,,,,
7/7/2010,528.2,51.32,315.68,,,,,,
7/8/2010,536.35,52.11,320.55,,,,,,
7/9/2010,532.61,51.75,318.31,,,,,,
7/12/2010,531.91,51.68,317.89,,,,,,
7/13/2010,535.94,52.07,320.3,,,,,,
7/14/2010,540.93,52.55,323.28,,,,,,
7/15/2010,558.55,54.27,333.81,,,,,,
7/16/2010,555.85,54,332.2,,,,,,
7/19/2010,549.18,53.35,328.2,,,,,,
7/20/2010,542.39,52.69,324.14,,,,,,
7/21/2010,548.89,53.33,328.03,,,,,,
7/22/2010,555.07,53.93,331.72,,,,,,
7/23/2010,554.94,53.91,331.64,,,,,,
7/26/2010,551.52,53.58,329.59,,,,,,
7/27/2010,551.4,53.57,329.52,,,,,,
